Activité;Durée session;Place max
Charisme et Leadership;50min par atelier + 10min de battement pour la mobilité;12
Ping-Pong;50min par atelier + 10min de battement pour la mobilité;12
Référencement Google par BRAINY UP;50min par atelier + 10min de battement pour la mobilité;12
Quiz Cinéma par ADASTRA FILMS;50min par atelier + 10min de battement pour la mobilité;12
Branding : comment valoriser votre marque par COULEUR VELVET;50min par atelier + 10min de battement pour la mobilité;12
Storytelling;50min par atelier + 10min de battement pour la mobilité;12
Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM;50min par atelier + 10min de battement pour la mobilité;12
"Visite guidée : ""Le Masque de fer : un secret d'Etat ?""";50min par atelier + 10min de battement pour la mobilité;12
Yoga par ETOILES DES SABLES;50min par atelier + 10min de battement pour la mobilité;12
Biodiversité & Environnement par le CPIE;50min par atelier + 10min de battement pour la mobilité;12
Atelier des sens par LES CONFISERIES FLORIAN;50min par atelier + 10min de battement pour la mobilité;12
Poker par ALPHA CONSEILS;50min par atelier + 10min de battement pour la mobilité;12
Massages (atelier contre 1 jeton);50min par atelier + 10min de battement pour la mobilité;12
Basket par O'SOL;50min par atelier + 10min de battement pour la mobilité;12
Pétanque par BLUE BEACON;50min par atelier + 10min de battement pour la mobilité;12
Kayak;50min par atelier + 10min de battement pour la mobilité;12
Paddle;50min par atelier + 10min de battement pour la mobilité;12
Tir à l'arc;50min par atelier + 10min de battement pour la mobilité;12
Parcours de santé par ENEDIS et CROSSFIT CANNES;50min par atelier + 10min de battement pour la mobilité;12
Assurance par GAN;50min par atelier + 10min de battement pour la mobilité;12
Comptabilité Gestion par PEPIT;50min par atelier + 10min de battement pour la mobilité;12
Météo : Selerys;50min par atelier + 10min de battement pour la mobilité;12
Réseaux Sociaux;50min par atelier + 10min de battement pour la mobilité;12
Création et quizz parfum par MOLINARD et ROBERTET;50min par atelier + 10min de battement pour la mobilité;12
Whimsifoil : volez au-dessus de l'eau !;50min par atelier + 10min de battement pour la mobilité;12
Droit de l'innovation TBC;50min par atelier + 10min de battement pour la mobilité;12
Casse-tête par Enigm'art;50min par atelier + 10min de battement pour la mobilité;12
